"","meanDelayTime_0.5","meanDelayTime_1","meanDelayTime_1.5","meanDelayTime_2","meanDelayTime_2.5","meanDelayTime_3","meanDelayTime_3.5","meanDelayTime_4","meanDelayTime_4.5","meanDelayTime_5","meanDelayTime_5.5","meanDelayTime_6","meanDelayTime_6.5","meanDelayTime_7","meanDelayTime_7.5","meanDelayTime_8","meanDelayTime_8.5"
"CVDelayTime_0.05",0.0267872172596737,0.0272726240737222,0.0280864738476434,0.0282622474043267,0.029274686585888,0.029239825873844,0.0300494337560682,0.0305246826027196,0.0312239883786798,0.0328973215389374,0.0331959262594879,0.0336997919181404,0.0344813566637584,0.0347525633218198,0.0366049428928208,0.03677478039874,0.0388227700167751
"CVDelayTime_0.1",0.0269247332060734,0.0273683160870782,0.0269029600803385,0.0285446015222636,0.0290355014231609,0.0291883874948821,0.0302469980811526,0.0310039709973529,0.0313748227818363,0.0324607881950928,0.0324570956583013,0.0338208948936345,0.0343757632098211,0.034380616548758,0.0361369803529176,0.0376549608820583,0.0382315345844799
"CVDelayTime_0.15",0.0269349861742678,0.0269585423302917,0.0271815496299442,0.0287929746198556,0.0292831390447002,0.0288677727021432,0.0306845458242915,0.0308871601065133,0.0312325833020437,0.0314856314777082,0.032848269989543,0.032973245905982,0.0339791625238122,0.0342746272229087,0.0355495957956577,0.0372681693117461,0.0371288643643042
"CVDelayTime_0.2",0.0268700657435483,0.0265191836225396,0.0273887152346065,0.0288075133882848,0.0285511196283833,0.0294410684916154,0.0303029582886577,0.0303302840268981,0.0320249972363776,0.0320755090568816,0.032668130326786,0.0334966649108636,0.0343766775728054,0.0348200110015549,0.0358432297303316,0.0363208356845431,0.0371007948238433
"CVDelayTime_0.25",0.026910448025259,0.0266369123630319,0.0275928075569402,0.0279188241133373,0.028905521764937,0.0290653089132422,0.0291450872762045,0.0305113169080646,0.0309627065607909,0.0315681129663526,0.0325780309561091,0.0331425955833713,0.034474985028498,0.0339430718999031,0.0358095884836722,0.035690093879102,0.0355610652239628
"CVDelayTime_0.3",0.0265122457692897,0.0263638024926233,0.0281908606617608,0.0281003142406406,0.0288126182541953,0.029772519596243,0.0284643198520752,0.0310391848540323,0.0308479847158926,0.0311786720746537,0.0328683387671044,0.0330962762965986,0.033317096320588,0.034333935787998,0.0347062718131205,0.0350011540972744,0.0357034672617247
"CVDelayTime_0.35",0.0264304323072713,0.026927243206084,0.0273336503908829,0.0277379959124939,0.0294455179590478,0.028643345966879,0.0299969943893814,0.0305819793087879,0.0310617852512141,0.0306595345326181,0.031722459491916,0.0327921219546255,0.0331198769578234,0.0337570942175054,0.0347842725280804,0.0349075132253042,0.0355614425495942
"CVDelayTime_0.4",0.0263953735723223,0.0270040465279029,0.0279906888708249,0.0275828892568356,0.0286539191252787,0.0297279160989834,0.0296341227425279,0.0301346778865863,0.0315794865226018,0.0324449753979342,0.0322977129776662,0.0324301604824976,0.0330925963737324,0.0332029826946118,0.0348956216520986,0.0344689359853308,0.0341810138593122
"CVDelayTime_0.45",0.0265502793684007,0.0266085910089812,0.0276889794358193,0.0283407258739756,0.0286245512104306,0.029485716358907,0.0293734901052593,0.0309795335461714,0.030752347081125,0.0312397351353315,0.0310486201467497,0.0311830335645283,0.033554288724508,0.0325634603787583,0.0333677481880318,0.0334711752266467,0.034236655265976
"CVDelayTime_0.5",0.0262743448197576,0.027426417179676,0.027705509637463,0.0280129600427725,0.0283354056415723,0.028960098586165,0.0298981162818037,0.0300288943863362,0.029530775549817,0.0308083684829121,0.0313596913294353,0.0323971388522072,0.0320366895407807,0.0320738899171582,0.0338016592870261,0.0325001743561336,0.0331172031724049
"CVDelayTime_0.55",0.0267983672900096,0.0272506062203321,0.02762562461338,0.0286688817720831,0.0287068288539856,0.0295770921021869,0.0293582445909973,0.0295861602032805,0.0310560060763487,0.0310001488860885,0.0315296104627346,0.0315606440574213,0.0321681015861799,0.0320989051150205,0.0319735553819323,0.0323410194581974,0.0336722654202479
"CVDelayTime_0.6",0.0267424230037238,0.0266253504300187,0.0276453456649254,0.0280030015789288,0.0284378034088864,0.0291246558191194,0.028821105099867,0.0302709930242675,0.0305005434483386,0.0305785175005532,0.0317679369372904,0.0309233373012757,0.0324861530402147,0.0320373531843868,0.0331343312352809,0.0333121288248312,0.0323073297699601
"CVDelayTime_0.65",0.026444495152918,0.0267105674721003,0.0275215323690507,0.0281450002793748,0.0285401751076724,0.0287028722685847,0.0296134214739147,0.0296391782646484,0.0293813352471473,0.0302786707834749,0.031153483555555,0.0303585557287338,0.0311095404497544,0.0321491826703837,0.0326139078605425,0.0330075161486395,0.0324941049113369
"CVDelayTime_0.7",0.0260688656103452,0.0273564038237725,0.0271147994841983,0.0281108102501088,0.0281687639464094,0.0290972228370741,0.0301837286281285,0.0301033144781151,0.0298221415486793,0.0305707519758496,0.0301815793045591,0.0317101039095389,0.0315073208051818,0.0315340724853508,0.0317602883584611,0.0324395165278586,0.0320465468834333
"CVDelayTime_0.75",0.0265180450543309,0.0268326463494396,0.0271761782893687,0.0279160332099232,0.0288689666455452,0.0288582766924653,0.0292931971884278,0.0297909055173193,0.0306564343103104,0.0303939825546967,0.0303782546954887,0.0306977499841736,0.0315156977313561,0.0320743630413157,0.031166252468801,0.0318436471311286,0.0316620394023346
