"","meanDelayTime_0.5","meanDelayTime_1","meanDelayTime_1.5","meanDelayTime_2","meanDelayTime_2.5","meanDelayTime_3","meanDelayTime_3.5","meanDelayTime_4","meanDelayTime_4.5","meanDelayTime_5","meanDelayTime_5.5","meanDelayTime_6","meanDelayTime_6.5","meanDelayTime_7","meanDelayTime_7.5","meanDelayTime_8","meanDelayTime_8.5"
"CVDelayTime_0.05",68.2861491628615,68.6234756097561,69.0752351097179,69.2009646302251,69.8384991843393,69.9596638655462,70.3431034482759,70.3280977312391,71.2746212121212,71.4014869888476,72.0157480314961,71.9749034749035,72.978021978022,72.7574468085106,74.0837320574163,73.5931034482759,74.5105882352941
"CVDelayTime_0.1",68.3712121212121,68.533234859675,68.7357910906298,69.4881141045959,69.6211878009631,69.8435940099834,70.4640287769784,70.9888888888889,71.15,71.3177570093458,71.570297029703,71.9491869918699,72.5299145299145,72.3690987124464,72.5420353982301,73.7735849056604,73.7004716981132
"CVDelayTime_0.15",68.5325077399381,68.7814871016692,68.806697108067,69.5007974481659,69.7643097643098,70.0702054794521,70.2551369863014,70.6182795698925,70.9836363636364,70.9644194756554,71.1404174573055,72.0404255319149,72.4008908685969,72.582056892779,72.775,73.7227488151659,73.3341121495327
"CVDelayTime_0.2",68.3736434108527,68.5812883435583,68.9373040752351,69.3632075471698,69.8447098976109,70.1035087719298,70.4553734061931,70.7576853526221,70.6660617059891,71.4522900763359,71.2873345935728,71.7599164926931,72.2851153039832,72.7744034707158,73.4663573085847,73.0610328638498,72.9538106235566
"CVDelayTime_0.25",68.4747634069401,68.8044164037855,68.8471138845554,69.3004769475358,69.7438825448613,69.840197693575,70.2669039145907,70.5474060822898,70.8249534450652,71.0055865921788,71.6666666666667,70.7820267686425,72.3362255965293,72.0562770562771,72.3008849557522,72.6570155902004,73.0586797066015
"CVDelayTime_0.3",68.2503840245776,68.5763993948563,69.0430107526882,69.3101777059774,69.5898251192369,69.8649572649573,70.2387543252595,70.4619469026549,70.4551971326165,70.6786389413989,71.8580121703854,71.259842519685,71.5731707317073,72.0525164113786,72.0868644067797,72.4039735099338,72.8407494145199
"CVDelayTime_0.35",68.3849840255591,68.5925373134328,68.9887640449438,68.9669811320755,69.6716666666667,69.4879614767255,70.2084745762712,70.5096660808436,70.7955390334572,70.3517857142857,71.25390625,71.5674044265593,72.1975051975052,72.1258426966292,72.1210762331839,72.4584269662921,72.472850678733
"CVDelayTime_0.4",68.2466960352423,68.6352201257862,68.8854003139717,69.2355769230769,69.3747954173486,70.0546075085324,70.008547008547,70.1263345195729,70.5896946564885,70.7947269303202,71.2837301587302,70.861932938856,71.7309236947791,71.5944206008584,72.3384615384615,72.0738255033557,72.6418918918919
"CVDelayTime_0.45",68.3177419354839,68.5192878338279,69.053882725832,69.2439807383628,69.9089376053963,69.6472545757072,70.0214168039539,70.3929889298893,70.0036429872495,70.7461538461538,70.5965909090909,71.002004008016,71.2054794520548,71.0714285714286,71.7727272727273,71.3978947368421,71.2344398340249
"CVDelayTime_0.5",68.3333333333333,68.8396946564885,69.3014827018122,69.1028481012658,69.3953125,69.4521008403361,70.1982456140351,70.2354948805461,70.4104882459313,70.4010989010989,70.652427184466,71.210843373494,70.9767441860465,71.5115789473684,71.2931392931393,71.5965665236051,71.6
"CVDelayTime_0.55",68.3297709923664,68.5635276532138,68.7788161993769,69.5305164319249,69.4650406504065,69.5047923322684,69.9982269503546,70.2749077490775,70.4280373831776,70.4029574861368,70.7445544554455,71.1547861507128,71.1350806451613,70.8333333333333,70.9801587301587,71.0873983739837,71.3982683982684
"CVDelayTime_0.6",68.4556574923547,68.6024464831804,68.8810641627543,69.3584,69.4389438943894,69.5664451827243,69.778730703259,70.0529914529914,69.9880952380952,70.0734265734266,70.802734375,70.4675572519084,70.7354085603113,70.6898608349901,71.152034261242,71.1372141372141,71.2304526748971
"CVDelayTime_0.65",68.4801901743265,68.5564142194745,68.7931034482759,69.1419656786271,69.3218954248366,69.4573268921095,69.6688963210702,69.9312714776632,69.7671957671958,70.2504472271914,70.1935483870968,70.4387947269303,70.3912213740458,71.0543933054393,71.112016293279,71.0695296523517,70.882703777336
"CVDelayTime_0.7",68.3648854961832,68.8285256410256,68.8584474885845,69.1389337641357,69.2450657894737,69.7826086956522,69.740614334471,69.800350262697,70.0427807486631,70.2829181494662,70.4703632887189,70.1735849056604,70.5653846153846,70.8172888015717,70.4227799227799,71.2156862745098,70.844262295082
"CVDelayTime_0.75",68.3293591654247,68.5112107623318,68.7491856677524,69.1374795417349,69.5392320534224,69.6724738675958,69.4478632478633,69.7155322862129,69.7860869565217,69.9769503546099,70.0221811460259,70.3058350100604,70.5390476190476,70.3111111111111,70.2698412698413,70.6424242424242,70.5753968253968
