"","meanDelayTime_0.5","meanDelayTime_1","meanDelayTime_1.5","meanDelayTime_2","meanDelayTime_2.5","meanDelayTime_3","meanDelayTime_3.5","meanDelayTime_4","meanDelayTime_4.5","meanDelayTime_5","meanDelayTime_5.5","meanDelayTime_6","meanDelayTime_6.5","meanDelayTime_7","meanDelayTime_7.5","meanDelayTime_8","meanDelayTime_8.5"
"CVDelayTime_0.05",0.23038881276713,0.224593021643404,0.220841431791465,0.212411550167785,0.207661004950547,0.194528027107226,0.192213211956284,0.199206849904131,0.173772983819453,0.185744123117409,0.174728771472646,0.174415761513556,0.163118561963825,0.171356001090397,0.158513344985514,0.166335702156025,0.161400101761928
"CVDelayTime_0.1",0.225246190352171,0.224018304354751,0.218516193481548,0.213619303588086,0.202175769268946,0.201896720613265,0.188599621381452,0.184326648247123,0.184443923279304,0.180777080738395,0.175150022064036,0.173095256443731,0.163666032190031,0.170481871414244,0.170202264464345,0.159121879122548,0.163661915427503
"CVDelayTime_0.15",0.224002527973676,0.220913609722478,0.211722958322156,0.209282515282688,0.199752813317637,0.196577625004078,0.197934117123347,0.187176839012132,0.184444490836865,0.183768003709625,0.176403140796857,0.166878841700669,0.166170347307154,0.161403346518243,0.161963734643076,0.159575511298443,0.160346020766054
"CVDelayTime_0.2",0.229580460322887,0.217972236679655,0.219860791855899,0.207316170088306,0.194194945347615,0.193821662729718,0.180605260267441,0.187600693942936,0.185746906414579,0.184370057083049,0.183243771324202,0.170799532119407,0.172061822027713,0.164285511751797,0.160754767129358,0.163040945025117,0.167486229794605
"CVDelayTime_0.25",0.222933016219252,0.217821748453041,0.212179536144094,0.214767417142594,0.196975217670731,0.201143786199908,0.184997099650156,0.189211553237406,0.187705291735642,0.185300989016996,0.173450910202484,0.191433921400001,0.169307237589157,0.168888439438734,0.167630533897094,0.170679754782016,0.160220446890444
"CVDelayTime_0.3",0.231357420678464,0.217179485325519,0.225736446838634,0.212676538903087,0.209445139010965,0.198354520232163,0.192851755966051,0.193459670952479,0.191127719620229,0.183972850358897,0.173497062608939,0.181801573744018,0.18034599036939,0.172149513985321,0.17802970382062,0.171537090105893,0.164611235060493
"CVDelayTime_0.35",0.218224750994372,0.226278624416528,0.213696325604242,0.215112190150118,0.197441685076114,0.202211218301443,0.18807224051066,0.187793474714961,0.183023027024436,0.186152747722097,0.177046263840621,0.175840677544152,0.174859023453543,0.168028411388441,0.167806217998505,0.169687111355362,0.174581838989148
"CVDelayTime_0.4",0.228399362563099,0.216216760330875,0.212087572354902,0.211218659171731,0.205042281910937,0.200766363993666,0.196687390787904,0.191265117850529,0.182916615093326,0.186004100715698,0.176488296044807,0.180753860676304,0.173456407245909,0.17579542401271,0.174864643160956,0.169010635199017,0.171278093962558
"CVDelayTime_0.45",0.222094149229563,0.22780054618516,0.221908210326476,0.205237591220298,0.202571513624619,0.194636884649879,0.200972038000585,0.186300450177845,0.188905035972779,0.181055759882236,0.184470176298961,0.176034302271213,0.188214620272978,0.179060570591599,0.173068406151466,0.177765975785494,0.178814903196346
"CVDelayTime_0.5",0.234135076674293,0.222733505703891,0.205996002791669,0.21073466780912,0.21156003676462,0.20154805052637,0.197794803164871,0.19663800265244,0.188574420770921,0.190157617400709,0.185023180728611,0.179138179574077,0.184487026918411,0.172253004343037,0.178516679287645,0.179544460431106,0.176618381051593
"CVDelayTime_0.55",0.224793088482637,0.228789394999367,0.216494744835586,0.215654953708095,0.209721742649796,0.209937128747705,0.198148339350958,0.178206013811904,0.194181600937657,0.19123716894255,0.180129941674967,0.176088968095715,0.180924476292569,0.191691001446333,0.187565346233112,0.186787439579307,0.178230371960896
"CVDelayTime_0.6",0.230771827592451,0.222868839595572,0.222054989519567,0.212750840605303,0.204772637702997,0.205194561808208,0.197198122593179,0.202383815881061,0.196199958332933,0.19775187218579,0.184349696817706,0.190400865480465,0.190544088469798,0.188089623360799,0.176885096867237,0.177069082841721,0.192536568578639
"CVDelayTime_0.65",0.223397381513803,0.215751879291916,0.221530262796015,0.210897320472485,0.208176146621404,0.204818070521541,0.21111464692853,0.201384043852887,0.194199143134508,0.194154561889721,0.194818746442783,0.191883747810795,0.192357457964708,0.178975546581772,0.182414786577705,0.19241647056417,0.190373707239164
"CVDelayTime_0.7",0.225217689615735,0.214759652298551,0.2188247183432,0.209777164603926,0.204845152395288,0.21074031050005,0.199612897065693,0.194837669235267,0.193662673440913,0.194914831376393,0.188611961815642,0.193454357281174,0.193740946069948,0.184249856066465,0.193624827817521,0.178218359337039,0.184797166142173
"CVDelayTime_0.75",0.230758031461666,0.219441761497258,0.212543058744535,0.216165262739217,0.209259147869495,0.196197090022491,0.202764467514807,0.198131867263714,0.197419123326466,0.200380115467629,0.192296192658402,0.188883848666937,0.193025367991357,0.197405913116931,0.195239319792572,0.190676984033011,0.192028145072237
