"","meanDelayTime_0.5","meanDelayTime_1","meanDelayTime_1.5","meanDelayTime_2","meanDelayTime_2.5","meanDelayTime_3","meanDelayTime_3.5","meanDelayTime_4","meanDelayTime_4.5","meanDelayTime_5","meanDelayTime_5.5","meanDelayTime_6","meanDelayTime_6.5","meanDelayTime_7","meanDelayTime_7.5","meanDelayTime_8","meanDelayTime_8.5"
"CVDelayTime_0.05",13.1216627092846,13.1244676829268,13.5171029780564,13.8683061093248,14.0368993474715,14.4752260504202,14.8481063793103,15.0468020942408,16.3174746212121,16.0254171003717,16.9760131889764,16.6328276061776,18.9016010989011,18.3209689361702,20.5917275119617,19.7513114942529,20.2470675294118
"CVDelayTime_0.1",13.0716912121212,12.729140915805,13.2178898617512,13.6644933438986,13.8448696629213,14.321762063228,15.5127701438849,15.9706394444444,15.9365166666667,16.101573271028,17.056442970297,17.5123414634146,18.3993198717949,18.4869439914163,19.0452884955752,20.3041992924528,20.2993301886792
"CVDelayTime_0.15",13.2874216718266,13.0771386949924,13.1331380517504,13.7529215311005,14.5122021885522,14.7317476027397,14.7514895547945,15.4649713261649,15.660918,16.1287516853933,16.3580189753321,18.3454153191489,19.2026146993318,18.8382308533917,19.5670672727273,20.4012914691943,20.1024957943925
"CVDelayTime_0.2",13.3721868217054,13.2256452453988,13.4727973354232,13.5236407232704,14.7168433447099,15.1152254385965,15.7084027322404,15.5678696202532,15.6494722323049,16.4445339694656,16.2921967863894,17.9573250521921,18.0491761006289,18.6793715835141,19.9738018561485,20.1994082159624,19.8783494226328
"CVDelayTime_0.25",13.6118283911672,13.6084208201893,13.4539341653666,13.6919717011129,14.0543539967374,14.203647446458,15.3410058718861,15.4305225402504,16.0551538175047,16.0377227188082,17.608308997955,16.4790728489484,18.651795010846,18.6487512987013,19.0512834070796,19.1995391982183,21.0493704156479
"CVDelayTime_0.3",13.2221588325653,13.0015950075643,13.2123238095238,13.9422490630048,13.6737639109698,14.7370634188034,14.9044472318339,15.254656460177,15.4526827956989,16.2635342155009,17.4559062880325,16.9663913385827,17.480368699187,18.8474641137856,18.2606618644068,19.0050695364238,20.15048735363
"CVDelayTime_0.35",13.7650738019169,12.834011641791,13.7873642054575,13.5565789308176,14.3483851666667,13.8351393258427,14.6137606779661,15.1237810193322,16.0200710037175,15.3906532142857,16.8468736328125,17.3410307847082,17.9068925155925,19.3426570786517,19.2834208520179,19.3687235955056,19.4775185520362
"CVDelayTime_0.4",12.6356362701909,13.5588421383648,13.5308481946625,13.8238203525641,14.1024762684124,14.6944513651877,14.7270678632479,15.344293772242,16.4557604961832,16.2469308851224,17.0992166666667,16.9814362919132,17.3049648594378,18.4806690987124,18.9058687912088,19.2545322147651,19.375470045045
"CVDelayTime_0.45",13.8775291935484,12.7795771513353,13.6419938193344,13.8183052969502,14.525481618887,14.3616720133111,14.1921085667216,15.9052339483395,15.7050506375228,16.573085,16.3168289772727,17.2735963927856,16.8469704500978,17.5331969387755,18.6350525974026,18.1155783157895,17.8601537344398
"CVDelayTime_0.5",13.1801599388379,13.1716502290076,14.1474718286656,13.6518628164557,13.45215578125,14.4824682352941,15.1203592982456,14.7128441979522,15.5570488245931,15.7669692307692,16.736200776699,17.3003261044177,16.6654531007752,18.1577968421053,17.9039301455301,18.4560628755365,18.711687173913
"CVDelayTime_0.55",13.1470112977099,12.8667756352765,13.4260070093458,13.5020574334898,14.0334678373984,13.7816591054313,15.2740166666667,15.9125549815498,16.1041571962617,15.9205704251386,17.0632035643564,17.5469949083503,17.340397983871,16.8767670588235,17.056093452381,17.4845510162602,18.6305692640693
"CVDelayTime_0.6",13.1603735474006,13.1837790519878,13.4917009389671,13.79438432,14.2051336633663,14.3338058139535,14.7773499142367,14.7484082051282,14.647112755102,15.0657258741259,16.8288162109375,16.4325608778626,16.7442889105058,17.1180807157058,18.4569571734475,17.8817575883576,17.7003199588477
"CVDelayTime_0.65",13.6547545166403,13.2944953632148,12.9341175412294,13.4338182527301,14.0534782679739,13.8582573268921,14.4148279264214,14.8068371134021,15.211530335097,15.396837745975,15.4087718637993,16.2054195856874,16.4127030534351,18.0203389121339,17.5275566191446,17.6074345603272,17.0993528827038
"CVDelayTime_0.7",13.1399309923664,13.8137342948718,13.107601674277,13.9245042003231,14.1421554276316,14.3997175585284,14.7174377133106,15.0897732049037,15.3712893048128,15.3467983985765,16.4624378585086,16.2259473584906,16.4820323076923,16.936068172888,16.6370104247104,18.7157566448802,17.6310487704918
"CVDelayTime_0.75",12.8450050670641,12.9000099252616,14.0421405537459,14.0630489361702,14.3512646076795,15.0162639372822,14.7388347008547,15.0319319371728,14.9820012173913,15.2474803191489,15.9077939001848,17.3445376257545,16.4127716190476,15.942852962963,17.0952583333333,17.4004834343434,17.0876182539683
