"","meanDelayTime_0.5","meanDelayTime_1","meanDelayTime_1.5","meanDelayTime_2","meanDelayTime_2.5","meanDelayTime_3","meanDelayTime_3.5","meanDelayTime_4","meanDelayTime_4.5","meanDelayTime_5","meanDelayTime_5.5","meanDelayTime_6","meanDelayTime_6.5","meanDelayTime_7","meanDelayTime_7.5","meanDelayTime_8","meanDelayTime_8.5"
"CVDelayTime_0.05",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.1",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.15",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.2",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.25",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.3",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.35",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.4",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.45",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.5",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.55",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.6",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.65",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.7",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
"CVDelayTime_0.75",0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5
