Time ,Proteins,peak 
0.0398214,99,0.995658
0.255617,98,0.995658
0.377513,97,1.17096
0.378223,96,1.17096
0.383796,95,1.17096
0.514385,94,1.17096
0.584872,93,1.17096
0.590481,92,1.17096
0.654834,91,1.17096
0.909173,90,1.17096
0.945996,89,1.17096
1.17225,88,1.01099
1.2043,87,1.01099
1.22741,86,1.01099
1.37316,85,1.28114
1.40058,84,1.28114
1.48161,85,1.28114
1.64086,84,1.28114
1.9237,83,1.28114
1.9989,84,1.28114
2.01207,83,1.28114
2.07632,82,1.28114
2.09942,81,1.28114
2.17114,82,1.28114
2.46641,81,0.88211
2.51002,82,0.88211
2.83511,81,0.873732
2.94526,80,0.873732
3.11085,81,1.26144
3.23096,80,0.94704
3.4605,79,1.11561
3.57465,80,1.11561
3.85715,79,1.08415
3.96759,80,1.08415
4.03183,79,1.08415
4.06992,80,1.08415
4.12222,79,1.08415
4.2219,78,1.08415
4.31881,79,1.08415
4.33652,78,1.08415
4.41441,77,1.08415
4.44094,76,1.08415
4.46849,77,1.08415
4.60595,76,0.947633
4.70957,75,0.947633
4.79654,74,0.947633
4.80893,73,0.947633
4.84975,74,0.947633
5.15152,73,1.10603
5.20509,72,1.10603
5.33663,71,0.884839
5.36594,70,0.884839
5.4254,71,0.884839
5.44696,72,0.884839
5.78299,71,0.835407
5.84854,70,0.835407
5.85656,69,0.835407
5.85979,68,0.835407
5.94347,69,0.835407
5.97404,70,0.835407
5.98358,71,0.788933
6.03374,70,0.788933
6.15312,69,0.788933
6.20274,70,0.788933
6.29749,71,0.967528
6.44298,72,0.967528
6.55711,71,0.826426
6.76449,72,0.918777
6.80499,71,0.918777
7.12064,72,0.909189
7.16402,71,0.909189
7.19062,70,0.909189
7.23799,71,0.909189
7.37896,72,0.909189
7.57526,73,1.04358
7.64222,74,0.788525
7.67043,75,0.788525
7.75446,76,0.788525
7.86793,75,0.788525
7.90301,74,0.788525
8.02781,73,1.07474
8.22675,72,1.07474
8.2991,73,1.07474
8.38348,72,1.07474
8.4175,73,1.07474
8.43057,72,1.07474
8.48749,71,1.07474
8.56259,70,0.760717
8.60304,71,0.760717
8.62981,70,0.760717
8.71117,71,0.760717
8.80617,70,0.760717
8.84231,69,0.760717
9.01209,70,0.760717
9.02812,69,0.760717
9.11506,68,0.760717
9.13348,67,0.760717
9.1715,66,0.760717
9.17231,65,0.760717
9.21051,64,0.760717
9.28654,65,0.760717
9.60649,64,0.760717
9.88651,63,0.997249
9.93079,62,0.997249
10.052,61,0.958599
10.128,60,1.00451
10.3338,59,0.977917
10.5564,58,0.977917
10.5872,59,0.977917
10.6466,60,0.932141
10.6649,61,0.932141
10.695,60,1.31823
10.778,61,0.812199
10.8126,60,0.812199
10.8804,61,0.812199
10.9609,62,0.812199
10.9699,63,0.812199
10.975,64,0.812199
11.066,65,0.812199
11.091,66,0.812199
11.162,65,1.08275
11.1821,64,1.04689
11.3081,65,0.888018
11.3131,64,0.888018
11.5504,65,0.888018
